round,case,method,milliseconds
5,146,Original,2.06685066223145
5,146,Indexed,0.555038452148438
4,25,Indexed,0.571966171264648
4,25,Original,1.87206268310547
5,464,Original,1.83796882629395
5,464,Indexed,0.561952590942383
2,72,Indexed,0.528097152709961
2,72,Original,1.83701515197754
5,333,Indexed,0.552177429199219
5,333,Original,1.86395645141602
3,442,Indexed,0.540018081665039
3,442,Original,1.86705589294434
1,2,Indexed,0.560998916625977
1,2,Original,1.95908546447754
5,477,Indexed,0.558137893676758
5,477,Original,1.84512138366699
1,247,Indexed,0.898838043212891
1,247,Original,3.08012962341309
4,152,Original,2.02393531799316
4,152,Indexed,0.689029693603516
3,131,Indexed,0.681161880493164
3,131,Original,2.01082229614258
2,119,Indexed,0.661134719848633
2,119,Original,2.02107429504395
5,347,Original,2.01988220214844
5,347,Indexed,0.593900680541992
2,327,Indexed,0.577926635742188
2,327,Original,1.99198722839355
5,215,Original,1.89590454101563
5,215,Indexed,0.555992126464844
4,415,Original,1.84297561645508
4,415,Indexed,0.647068023681641
1,564,Original,1.85298919677734
1,564,Indexed,0.557899475097656
3,480,Original,1.91688537597656
3,480,Indexed,0.565052032470703
3,208,Indexed,0.560998916625977
3,208,Original,1.84917449951172
3,182,Original,2.3500919342041
3,182,Indexed,0.632047653198242
4,187,Original,1.8608570098877
4,187,Indexed,0.565052032470703
4,348,Original,5.33390045166016
4,348,Indexed,0.936031341552734
1,431,Indexed,0.597953796386719
1,431,Original,2.03895568847656
3,370,Indexed,0.629901885986328
3,370,Original,2.03609466552734
1,555,Indexed,0.564098358154297
1,555,Original,1.96385383605957
4,63,Indexed,0.61798095703125
4,63,Original,1.99508666992188
1,220,Indexed,0.616073608398438
1,220,Original,2.04205513000488
2,405,Original,1.95622444152832
2,405,Indexed,0.581026077270508
1,330,Indexed,0.587224960327148
1,330,Original,1.90114974975586
4,361,Indexed,0.565052032470703
4,361,Original,1.89709663391113
4,259,Indexed,0.558853149414063
4,259,Original,1.87015533447266
1,390,Indexed,0.540971755981445
1,390,Original,1.86896324157715
5,238,Original,1.8470287322998
5,238,Indexed,0.550985336303711
2,397,Original,1.95717811584473
2,397,Indexed,0.567913055419922
3,451,Indexed,0.558137893676758
3,451,Original,3.33094596862793
5,433,Indexed,0.650882720947266
5,433,Original,2.03609466552734
5,376,Original,2.02608108520508
5,376,Indexed,0.602006912231445
4,399,Original,2.05087661743164
4,399,Indexed,0.612020492553711
1,570,Indexed,0.620841979980469
1,570,Original,1.98793411254883
2,196,Original,2.00486183166504
2,196,Indexed,0.560998916625977
4,48,Original,1.9688606262207
4,48,Indexed,0.629186630249023
2,379,Original,1.85894966125488
2,379,Indexed,0.545978546142578
5,117,Indexed,0.546932220458984
5,117,Original,1.85108184814453
1,11,Indexed,0.583887100219727
1,11,Original,1.92403793334961
2,342,Original,1.86300277709961
2,342,Indexed,0.545978546142578
3,212,Original,1.85394287109375
3,212,Indexed,0.57220458984375
5,372,Indexed,0.573873519897461
5,372,Original,1.86800956726074
2,90,Original,4.96697425842285
2,90,Indexed,0.962972640991211
5,582,Indexed,0.94294548034668
5,582,Original,2.27689743041992
2,351,Indexed,0.663995742797852
2,351,Original,2.0899772644043
5,337,Indexed,0.616073608398438
5,337,Original,2.07304954528809
4,547,Original,2.15601921081543
4,547,Indexed,0.597000122070313
4,33,Original,2.12001800537109
4,33,Indexed,0.605106353759766
3,464,Indexed,0.660896301269531
3,464,Original,1.94692611694336
4,276,Indexed,0.586986541748047
4,276,Original,1.9068717956543
4,81,Indexed,0.559806823730469
4,81,Original,1.92117691040039
3,554,Indexed,0.568866729736328
3,554,Original,1.89995765686035
4,61,Indexed,0.558137893676758
4,61,Original,1.89113616943359
1,210,Indexed,0.558853149414063
1,210,Original,1.9078254699707
5,178,Indexed,0.587940216064453
5,178,Original,1.90401077270508
3,415,Original,4.95004653930664
3,415,Indexed,1.04689598083496
5,269,Indexed,0.750064849853516
5,269,Original,2.07114219665527
3,516,Indexed,0.612020492553711
3,516,Original,2.07114219665527
2,402,Original,2.02393531799316
2,402,Indexed,0.59199333190918
5,516,Indexed,0.566005706787109
5,516,Original,2.04586982727051
4,205,Indexed,0.587940216064453
4,205,Original,1.97696685791016
1,525,Indexed,0.577211380004883
1,525,Original,1.9068717956543
2,330,Original,1.92785263061523
2,330,Indexed,0.571012496948242
5,563,Original,1.92689895629883
5,563,Indexed,0.578880310058594
2,153,Indexed,0.565052032470703
2,153,Original,1.88398361206055
5,180,Original,1.91903114318848
5,180,Indexed,0.543832778930664
2,503,Indexed,0.593900680541992
2,503,Original,2.11405754089355
4,373,Indexed,0.620126724243164
4,373,Original,1.93309783935547
3,83,Indexed,2.67696380615234
3,83,Original,3.30114364624023
5,454,Indexed,0.655889511108398
5,454,Original,2.06494331359863
5,167,Indexed,0.651121139526367
5,167,Original,2.03609466552734
1,227,Indexed,0.602006912231445
1,227,Original,2.00796127319336
4,144,Original,2.03180313110352
4,144,Indexed,0.617027282714844
4,443,Indexed,0.5950927734375
4,443,Original,2.12287902832031
3,20,Indexed,0.587940216064453
3,20,Original,1.87993049621582
1,68,Indexed,0.586032867431641
1,68,Original,1.96504592895508
4,515,Original,1.91688537597656
4,515,Indexed,0.561952590942383
3,236,Indexed,0.575065612792969
3,236,Original,2.02488899230957
4,553,Indexed,0.653982162475586
4,553,Original,2.25186347961426
2,133,Indexed,0.703096389770508
2,133,Original,2.04896926879883
4,421,Indexed,0.579118728637695
4,421,Original,2.08711624145508
1,508,Indexed,3.48091125488281
1,508,Original,3.52883338928223
1,362,Indexed,0.684976577758789
1,362,Original,2.37607955932617
5,175,Original,2.37393379211426
5,175,Indexed,0.645875930786133
3,363,Indexed,0.672101974487305
3,363,Original,2.13003158569336
3,312,Original,2.11882591247559
3,312,Indexed,0.610113143920898
5,205,Indexed,0.608921051025391
5,205,Original,2.00605392456055
3,324,Indexed,0.594139099121094
3,324,Original,1.96599960327148
3,186,Indexed,0.577926635742188
3,186,Original,1.92499160766602
1,331,Original,1.97315216064453
1,331,Indexed,0.57220458984375
2,121,Indexed,0.571966171264648
2,121,Original,1.96695327758789
4,297,Indexed,0.571012496948242
4,297,Original,1.90210342407227
