source,line_hash,rank,milliseconds
blogs,43d332dee0b904d3c1628d681c718914a3a73d93364206589288c37e89b50d76,0,0.700950622558594
blogs,5dd00d3232116b0907ceba5c43642c30d11be8c789c72e3f8564adffbc66023a,0,0.699996948242188
blogs,c433dc10bed170d2610880bff6d5d7da9a684d3c8988c279672f97489717f38a,0,0.723123550415039
blogs,451722abcc2bdcd0e5cb1f504d40f921e803606a0a2a01ae74a833a2677bfe21,0,0.645875930786133
blogs,438dfe05145e2bfe0049ede47edccf11088ea8d06067ee48d0cc70c4cf10712e,0,0.634908676147461
blogs,06a5c73a7734d956a1b27794f679da9667df483aca4d715063af2d78edb2095e,0,0.627040863037109
blogs,da2ec48c8e7089305013b793d4e852d26eaddb6f08b1c9e52eea32c50b80818d,0,0.637054443359375
blogs,a7e42b1871c48384f4c2dfb5293403f48ec9efc1cf0ca6c9b5d283a0ec871daa,0,0.648021697998047
blogs,4b8c6b4cbab8492c1c03e6e11f89dc2fe2b4a48390af288c1a01e91b3a09706c,0,0.770092010498047
blogs,81ab4d2a755bb70f92120ee3d8eb11095d8d9b27eb22b5c5faed15f0963db1c6,0,0.594854354858398
blogs,a4330c45c8991563700271f6f8b8e220f41119f7eb838e5413b94b5a4a73e962,0,0.718832015991211
blogs,76cedcf8ab9c21f8b1389d7ece4b23b7e7a2d05965cd0ae3862b9f74e3a62504,0,0.593185424804688
blogs,179ec92938bfecceef666117b544d94386d97b6edd1f0a343cf1957f3a395bd8,0,0.562906265258789
blogs,ae8ab4794661237a7a3384e23b25a1ed1045fa9c7ffb13456fbd63d1c3112065,3,0.564098358154297
blogs,fd4b176499e87ac7ba1fd7ab79f3d65a409c50e2542a933c90a8d17c6acdfdf4,2,0.586986541748047
blogs,05cd15e66d0926b7d521b824a542ddd09ad264d663e67ccbc53cd72f8a85a3c7,0,0.545978546142578
blogs,cbdaf8d123838f408601324e84b4ca29b11ca226f400da1b2e7db52da552012a,2,0.565052032470703
blogs,0ea53809eccb3a953b4e8be7cf5159b0b7a3653187b3d59177b599770d546c1c,2,0.620841979980469
blogs,285c8d26edf037e359c00d0152bf525bced924549c300a89327df90b43ab0112,0,0.715017318725586
blogs,dc0990e106cfefb238974b070a67cb06aa19ab22ca4c1d7b2568b2ac48840f55,0,0.558137893676758
blogs,2310f9018f334d5cea26c51572604ee994ba0f75067ad4e55f60b051720eb666,1,0.585079193115234
blogs,ed1730a70dd632b9c1f59f50100c1039da72f55f8cb9f7da3fdf1d49c9e04fb0,1,0.566005706787109
blogs,b91c60eefa07efc8d8c766b76dd128ca4a516d7c24cf713f1b5f3064169935e2,0,0.742197036743164
blogs,0c6dd475cb7252e558272ed5476de7ec6792bdc4fde6bbede235965bfe6f5080,0,0.53715705871582
blogs,b04ed46d0f25dfef118ccab2a0ea2635e5d2c55ad0a77ed20858623e46b686ed,0,0.684976577758789
blogs,d4b71e71cae5e44e4118081553ec5530ee80dce7a886c85749d9e45377fe699c,0,0.606060028076172
blogs,819892f3f9c07c0b6ecc3bbfde5dc87757f4a7c446f8bf6430a38284ec3786f2,0,0.625133514404297
blogs,b5b776f2980c8378cb1f2834e76e814863e4b7411f5de5b9493cbf1430db1fda,0,0.669002532958984
blogs,181e694b77fc212dac9d06987bbeeffa7e9aaf649b8a06eb3cd97de3ecf0d4a2,0,0.743865966796875
blogs,816866080550f09f99095e912c60005960caff3b6aeaeca9f6f643f77caf856e,3,0.653982162475586
blogs,b40e9b17841eed5a6bf44e893dd5557121bd34ddea8bbfc9b36047d0f351938e,2,0.782012939453125
blogs,2bde01ba2ca285280be21974bb2e818ec57704b1a06bd18594851fa19afa68f3,0,0.666141510009766
blogs,0df4a64477ae5b424ff425316f9868d2cd3af3672519dbcb50a7eaec81655be2,0,0.663042068481445
blogs,75b9bc23fa68a45c5cbb5357bdd745a44b141fe9cd1baca335426cb31bd26ac2,0,0.687837600708008
blogs,41c11852c3d7f62f07a039d1a1353a98b852abb90e4cec23d5d062f5956925c3,0,0.661849975585938
blogs,fe647385e8934d869c08d261ba262604a358a7082418ec109d6a3917992de0ce,0,0.725984573364258
blogs,cabc98d4eebefe718f9bb866ac66dd8d3314f88b39d4c5a53ab8c13e188e5d42,0,0.745058059692383
blogs,9134bc3a8054df8751179dad332786de55d8d30cc5836cc9f7cf5e2da9efa5df,0,0.600099563598633
blogs,8a3a45ac9c16931b8304e58742820a06356dab7e3180d238153ad969014baf7b,0,0.578880310058594
blogs,6ae9a8233ae0006692e733fab7dbe811f257308042e32824cb1f91a858c9b7ad,0,0.731945037841797
blogs,c8239036c7ba0f97df365063fb3ff245075aedc7576879a800cb5ef00a5dcf57,1,0.635862350463867
blogs,7d03b2aca820442d1dd4ed0758332bbf7c0221d6fc21adbdce3f3770b285ae6a,0,0.581026077270508
blogs,834f59365e75020a10a53d47e8e8ad53d12910d3ee6d4b5ff3c7c32bcdfbf393,0,0.566005706787109
blogs,c80f10ca557aefbfa87690f531b64b36706a0a3def3a7f273afe4fbde70f3e71,1,0.610828399658203
blogs,85b823a7393ea003b8c1fd3cf03bcae450129384d78f6ebf341f48f63e33b66e,0,0.583171844482422
blogs,8c62b466ff3e7bad679361a0c4a94c8e8d1c980db7d24f1a942c3cea49c9d9cd,0,0.597953796386719
blogs,2225ec3cbc148f64c837bd4f0dfa7ca8d15d475f90d759ac9d6746e670f48b58,0,0.591039657592773
blogs,78ce70ab8fcd0433ee30382fe3d07bfa99bcc9551dbaadaf1bce0ff3b72043d2,0,0.593900680541992
blogs,87877f6b81280379d0fc181f082d80c0a7fc942a8038c03eb870ce02c115e670,0,0.609874725341797
blogs,d58f95aac1deaa47a480250ca69c64722f6033cf98241eb12c54075b4e8c0cbf,0,0.562906265258789
blogs,02822979e79f67ce6acf619f7ac6f6811666876fb03211931a0d22f5e2f357c9,1,0.602006912231445
blogs,62398e7fe9510a2356e4ac9a0605e35d2f75d6537c9e5f6a0ef16a11df64f3c2,1,0.545978546142578
blogs,125a21d647198b9a9b4e532e1c21173099b5b77a2505eca5d495dd18b38ee645,0,0.707864761352539
blogs,4d0020fcf352e469a312236972f4d1d7fcc55128719c4b47a8c3279484cc2335,0,0.566959381103516
