round,case,name,milliseconds
2,422,Current,0.566005706787109
3,516,Gentle,0.576972961425781
3,516,Strict,0.550031661987305
3,516,Strong,0.522851943969727
3,516,Current,0.549077987670898
3,131,Current,0.646114349365234
3,131,Strict,0.629186630249023
3,131,Gentle,0.633955001831055
3,131,Strong,0.628948211669922
1,350,Strong,0.544071197509766
1,350,Strict,0.569820404052734
1,350,Gentle,0.540018081665039
1,350,Current,0.516891479492188
2,183,Strict,3.74007225036621
2,183,Gentle,0.804901123046875
2,183,Current,0.726938247680664
2,183,Strong,0.622987747192383
1,123,Strict,0.646114349365234
1,123,Current,0.65302848815918
1,123,Strong,0.628948211669922
1,123,Gentle,0.622034072875977
1,239,Strict,0.623941421508789
1,239,Current,0.673770904541016
1,239,Strong,0.658988952636719
1,239,Gentle,0.590085983276367
2,309,Current,0.583887100219727
2,309,Gentle,0.581026077270508
2,309,Strict,0.578880310058594
2,309,Strong,0.563859939575195
2,93,Current,0.589847564697266
2,93,Gentle,0.597000122070313
2,93,Strong,0.58293342590332
2,93,Strict,0.571966171264648
2,341,Strong,0.599861145019531
2,341,Gentle,0.597953796386719
2,341,Strict,0.581979751586914
2,341,Current,0.639915466308594
2,211,Strict,0.662088394165039
2,211,Strong,0.581979751586914
2,211,Current,0.617027282714844
2,211,Gentle,0.571966171264648
2,504,Gentle,0.56004524230957
2,504,Strict,0.541210174560547
2,504,Current,0.530004501342773
2,504,Strong,0.511884689331055
1,11,Strong,0.541925430297852
1,11,Current,0.530004501342773
1,11,Gentle,0.524997711181641
1,11,Strict,0.533819198608398
1,2,Current,0.546932220458984
1,2,Gentle,0.533819198608398
1,2,Strict,0.53095817565918
1,2,Strong,0.526189804077148
2,580,Strict,0.571012496948242
2,580,Current,0.571966171264648
2,580,Strong,0.555038452148438
2,580,Gentle,0.547885894775391
1,273,Strong,0.562906265258789
1,273,Strict,0.506877899169922
1,273,Gentle,0.524044036865234
1,273,Current,0.524044036865234
2,111,Current,0.545978546142578
2,111,Strong,0.553131103515625
2,111,Strict,0.548124313354492
2,111,Gentle,0.517129898071289
3,328,Strict,0.524044036865234
3,328,Gentle,0.566005706787109
3,328,Strong,0.550031661987305
3,328,Current,0.557184219360352
2,537,Gentle,0.648021697998047
2,537,Strict,0.634193420410156
2,537,Current,0.623941421508789
2,537,Strong,0.619173049926758
2,278,Strict,0.5340576171875
2,278,Strong,0.519990921020508
2,278,Current,0.547170639038086
2,278,Gentle,0.516891479492188
3,404,Strict,0.620126724243164
3,404,Gentle,0.632047653198242
3,404,Strong,0.634908676147461
3,404,Current,0.614166259765625
2,219,Strong,0.56004524230957
2,219,Strict,0.555992126464844
2,219,Current,0.545024871826172
2,219,Gentle,0.733852386474609
3,575,Gentle,0.576019287109375
3,575,Strict,0.527858734130859
3,575,Strong,0.542163848876953
3,575,Current,0.527858734130859
3,529,Current,0.652074813842773
3,529,Strong,0.641107559204102
3,529,Strict,0.632047653198242
3,529,Gentle,0.633955001831055
3,227,Current,0.549077987670898
3,227,Strict,0.535964965820313
3,227,Strong,0.550985336303711
3,227,Gentle,0.554084777832031
1,21,Strict,0.590085983276367
1,21,Strong,0.535011291503906
1,21,Gentle,0.53715705871582
1,21,Current,0.549793243408203
2,351,Strong,0.571966171264648
2,351,Gentle,0.532865524291992
2,351,Strict,0.525951385498047
2,351,Current,0.619888305664063
1,127,Strict,3.54099273681641
1,127,Strong,0.849008560180664
1,127,Current,0.733137130737305
1,127,Gentle,0.600099563598633
1,144,Strict,0.632047653198242
1,144,Strong,0.618934631347656
1,144,Current,0.625133514404297
1,144,Gentle,0.612020492553711
3,152,Gentle,0.71406364440918
3,152,Strict,0.716924667358398
3,152,Strong,0.693082809448242
3,152,Current,0.673055648803711
2,522,Strict,0.566005706787109
2,522,Gentle,0.574111938476563
2,522,Strong,0.580072402954102
2,522,Current,0.607967376708984
2,366,Current,0.564098358154297
2,366,Strict,0.552177429199219
2,366,Strong,0.612020492553711
2,366,Gentle,0.548124313354492
1,526,Gentle,0.624895095825195
1,526,Current,0.651121139526367
1,526,Strong,0.568151473999023
1,526,Strict,0.585079193115234
3,344,Current,0.589132308959961
3,344,Gentle,0.560998916625977
3,344,Strict,0.560998916625977
3,344,Strong,0.550031661987305
2,502,Strict,0.580072402954102
2,502,Gentle,0.651121139526367
2,502,Current,0.526905059814453
2,502,Strong,0.524997711181641
3,269,Gentle,0.55384635925293
3,269,Current,0.55384635925293
3,269,Strict,0.530004501342773
3,269,Strong,0.543832778930664
3,7,Current,0.562906265258789
3,7,Gentle,0.543117523193359
3,7,Strong,0.564098358154297
3,7,Strict,0.549077987670898
3,279,Strict,0.632047653198242
3,279,Current,0.651121139526367
3,279,Gentle,0.646114349365234
3,279,Strong,0.760793685913086
2,62,Gentle,0.655174255371094
2,62,Strict,0.580072402954102
2,62,Current,0.548839569091797
2,62,Strong,0.540018081665039
1,288,Strong,0.536203384399414
1,288,Current,0.550031661987305
1,288,Strict,0.515937805175781
1,288,Gentle,0.523090362548828
3,246,Strict,0.546932220458984
3,246,Current,0.544071197509766
3,246,Gentle,0.535011291503906
3,246,Strong,0.550985336303711
1,210,Strict,0.536203384399414
1,210,Gentle,0.544071197509766
1,210,Current,0.575065612792969
1,210,Strong,0.558853149414063
1,557,Current,0.535964965820313
1,557,Strict,0.535964965820313
